,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total,Total,"5,657","5,082","4,819","4,180","4,318","4,067","3,868","3,848","3,699","3,323","3,127","2,894","2,858","2,807","2,676","2,591","2,399","2,230","2,221","2,137","2,046","1,967","1,869","1,767","1,555","1,580"
Total,Enero,545,470,445,421,469,408,420,392,349,368,320,279,325,278,307,250,254,213,234,194,203,200,192,201,152,166
Total,Febrero,457,348,412,342,317,309,305,285,323,268,260,221,215,216,227,208,171,191,200,164,172,155,165,142,110,136
Total,Marzo,511,368,372,317,350,326,311,329,290,273,212,246,230,251,214,230,177,174,179,189,166,166,143,157,138,133
Total,Abril,403,391,302,297,326,301,274,262,277,236,228,218,219,189,201,207,173,175,158,161,168,134,139,136,99,114
Total,Mayo,425,440,351,341,343,311,275,285,263,282,271,218,240,210,184,201,200,178,147,161,157,141,137,139,118,120
Total,Junio,438,398,380,304,338,312,279,295,282,223,250,230,215,211,183,185,172,169,154,164,145,153,143,121,118,124
Total,Julio,457,463,389,358,364,314,284,309,305,250,264,213,237,213,235,188,200,157,170,156,145,161,141,138,110,116
Total,Agosto,410,358,377,298,319,312,324,272,297,252,250,239,206,245,195,195,175,174,182,161,160,161,155,129,144,117
Total,Septiembre,427,382,383,324,328,316,300,287,279,237,229,214,221,209,204,192,174,177,179,156,168,148,155,131,129,115
Total,Octubre,455,479,434,340,381,345,326,380,312,280,268,260,255,239,224,230,216,213,209,203,169,167,154,153,118,151
Total,Noviembre,524,460,496,366,396,343,345,347,318,291,255,245,237,206,226,244,232,210,213,189,166,194,163,152,166,127
Total,Diciembre,602,524,478,470,385,470,418,401,400,362,320,311,258,340,276,261,255,199,196,237,227,187,182,168,153,161
Total,No especificado,3,1,,2,2,,7,4,4,1,,,,,,,,,,2,,,,,,
1909,Total,,,,,,,,1,1,,,,,,,,,,,,,,,,,
1909,Septiembre,,,,,,,,1,,,,,,,,,,,,,,,,,,
1909,Octubre,,,,,,,,,1,,,,,,,,,,,,,,,,,
1920,Total,,,,,,,1,,,,,,,,,,,,,,,,,,,
1920,Abril,,,,,,,1,,,,,,,,,,,,,,,,,,,
1940,Total,,,,,1,,,,,,,,,,,,,,,,,,,,,
1940,Febrero,,,,,1,,,,,,,,,,,,,,,,,,,,,
1958,Total,,,,,,,,,1,,,,,,,,,,,,,,,,,
1958,Enero,,,,,,,,,1,,,,,,,,,,,,,,,,,
1976,Total,,,,,,,1,,,,,,,,,,,,,,,,,,,
1976,Noviembre,,,,,,,1,,,,,,,,,,,,,,,,,,,
1984,Total,,,,,1,,,,,,,,,,,,,,,,,,,,,
1984,Septiembre,,,,,1,,,,,,,,,,,,,,,,,,,,,
1986,Total,,,,,,,1,,,,,,,,,,,,,,,,,,,
1986,Octubre,,,,,,,1,,,,,,,,,,,,,,,,,,,
1989,Total,,1,,,,,,,,,,,,,,,,,,,,,,,,
1989,Noviembre,,1,,,,,,,,,,,,,,,,,,,,,,,,
1990,Total,"5,654",1,,,,,,,,,,,,,,,,,,,,,,,,
1990,Enero,545,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Febrero,457,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Marzo,511,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Abril,403,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mayo,425,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Junio,436,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Julio,457,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Agosto,410,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Septiembre,427,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Octubre,455,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Noviembre,523,1,,,,,,,,,,,,,,,,,,,,,,,,
1990,Diciembre,602,,,,,,,,,,,,,,,,,,,,,,,,,
1990,No especificado,3,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Total,,"5,080",,2,1,1,,,,,,,,,,,,,,,,,,,,
1991,Enero,,470,,,,,,,,,,,,,,,,,,,,,,,,
1991,Febrero,,348,,,1,,,,,,,,,,,,,,,,,,,,,
1991,Marzo,,368,,,,,,,,,,,,,,,,,,,,,,,,
1991,Abril,,391,,,,,,,,,,,,,,,,,,,,,,,,
1991,Mayo,,440,,,,,,,,,,,,,,,,,,,,,,,,
