,,,Total,Total,Total,1912,1912,1913,1913,1914,1914,1915,1915,1916,1916,1917,1917,1918,1918,1918,1919,1919,1920,1920,1921,1921,1922,1922,1923,1923,1924,1924,1925,1925,1926,1926,1927,1927,1928,1928,1929,1929,1930,1930,1931,1931,1932,1932,1933,1933,1934,1934,1935,1935,1936,1936,1937,1937,1938,1938,1939,1939,1940,1940,1941,1941,1942,1942,1943,1943,1944,1944,1945,1945,1946,1946,1947,1947,1948,1948,1948,1949,1949,1950,1950,1951,1951,1952,1952,1953,1953,1954,1954,1955,1955,1956,1956,1957,1957,1958,1958,1959,1959,1960,1960,1961,1961,1962,1962,1963,1963,1964,1964,1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
,,,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto
,Total,Total,"160,095","158,814","1,281",1,1,4,4,1,1,3,3,7,7,4,4,9,8,1,8,8,8,8,11,11,13,13,19,19,20,20,33,33,29,29,34,34,34,34,36,36,87,87,51,51,76,76,70,70,46,46,83,83,78,78,56,56,53,53,56,56,83,83,43,43,76,76,74,74,81,81,107,107,75,75,89,89,77,76,1,79,79,121,121,63,63,109,109,90,90,141,141,111,111,67,67,54,54,73,73,46,46,69,69,43,43,68,68,47,47,62,62,45,45,48,48,39,39,58,58,38,38,43,43,34,34,33,33,49,49,45,45,35,35,41,41,31,31,27,27,32,32,46,46,34,34,33,33,30,30,33,33,42,42,24,24,40,40,28,28,50,50,57,57,53,53,50,50,46,46,47,47,71,71,74,74,57,57,55,55,40,40,51,51,51,51,91,91,105,105,121,121,127,127,162,162,202,202,289,289,529,529,977,977,"1,650","1,650","2,067","2,064",3,"3,121","3,120",1,"29,685","29,574",111,"116,481","115,317","1,164"
,Total,Enero,"13,519","13,414",105,,,,,,,1,1,,,,,,,,,,,,1,1,,,4,4,1,1,3,3,2,2,3,3,4,4,7,7,7,7,3,3,5,5,6,6,4,4,9,9,9,9,5,5,3,3,3,3,5,5,7,7,9,9,3,3,6,6,7,7,5,5,14,14,7,7,,10,10,8,8,5,5,7,7,7,7,12,12,10,10,5,5,3,3,4,4,6,6,9,9,4,4,7,7,1,1,5,5,3,3,3,3,2,2,7,7,4,4,1,1,3,3,6,6,5,5,3,3,1,1,6,6,,,5,5,2,2,4,4,1,1,1,1,1,1,3,3,3,3,2,2,2,2,1,1,7,7,6,6,4,4,1,1,1,1,4,4,7,7,4,4,4,4,3,3,2,2,7,7,3,3,9,9,7,7,8,8,14,14,13,13,15,15,20,20,32,32,56,56,100,100,155,155,,213,213,,450,449,1,"12,059","11,955",104
,Total,Febrero,"11,962","11,854",108,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,,,1,1,,,2,2,2,2,3,3,4,4,5,5,8,8,1,1,6,6,10,10,2,2,3,3,8,8,7,7,6,6,7,7,3,3,8,8,5,5,2,2,10,10,8,8,,7,7,2,2,7,7,9,9,6,6,11,11,5,5,5,5,6,6,3,3,3,3,5,5,4,4,5,5,6,6,5,5,4,4,1,1,1,1,5,5,3,3,3,3,3,3,3,3,1,1,4,4,3,3,2,2,2,2,1,1,2,2,3,3,4,4,2,2,3,3,6,6,4,4,2,2,1,1,3,3,2,2,1,1,1,1,7,7,3,3,3,3,5,5,5,5,6,6,5,5,1,1,2,2,3,3,3,3,15,15,4,4,13,13,7,7,16,16,22,22,26,26,58,58,112,112,119,119,,159,159,,440,440,,"10,653","10,545",108
,Total,Marzo,"13,254","13,154",100,,,1,1,,,,,1,1,,,2,2,,1,1,1,1,1,1,2,2,3,3,3,3,4,4,3,3,4,4,2,2,4,4,5,5,8,8,5,5,5,5,4,4,8,8,3,3,5,5,5,5,2,2,11,11,4,4,5,5,6,6,6,6,13,13,8,8,5,5,2,2,,3,3,6,6,9,9,7,7,5,5,5,5,12,12,3,3,7,7,1,1,3,3,4,4,3,3,1,1,6,6,6,6,3,3,2,2,2,2,7,7,2,2,1,1,3,3,5,5,2,2,5,5,5,5,3,3,4,4,2,2,1,1,6,6,2,2,3,3,4,4,4,4,3,3,1,1,3,3,1,1,7,7,8,8,3,3,4,4,4,4,6,6,4,4,4,4,3,3,2,2,2,2,6,6,5,5,11,11,9,9,5,5,16,16,15,15,13,13,20,20,53,53,73,73,140,140,141,141,,170,170,,539,538,1,"11,694","11,595",99
,Total,Abril,"12,963","12,860",103,,,,,,,,,1,1,,,1,1,,,,,,3,3,,,1,1,1,1,1,1,4,4,,,3,3,5,5,5,5,4,4,6,6,4,4,4,4,5,5,5,5,4,4,5,5,3,3,6,6,2,2,6,6,10,10,6,6,9,9,5,5,6,6,4,4,,6,6,9,9,6,6,6,6,7,7,12,12,15,15,6,6,4,4,4,4,3,3,5,5,4,4,6,6,4,4,5,5,7,7,3,3,3,3,8,8,6,6,7,7,3,3,4,4,5,5,3,3,2,2,4,4,1,1,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,1,1,8,8,1,1,6,6,6,6,7,7,2,2,4,4,2,2,2,2,8,8,8,8,5,5,8,8,6,6,4,4,14,14,9,9,9,9,10,10,15,15,19,19,17,17,40,40,58,58,126,126,162,162,,209,209,,616,615,1,"11,284","11,182",102
,Total,Mayo,"12,975","12,876",99,,,,,,,,,1,1,,,2,2,,,,,,1,1,2,2,1,1,,,3,3,4,4,2,2,,,2,2,9,9,6,6,5,5,9,9,4,4,11,11,3,3,5,5,3,3,5,5,8,8,3,3,4,4,8,8,6,6,7,7,3,3,5,5,5,5,,3,3,17,17,6,6,5,5,9,9,12,12,11,11,10,10,4,4,6,6,5,5,8,8,5,5,4,4,7,7,4,4,4,4,7,7,1,1,4,4,6,6,3,3,4,4,1,1,4,4,2,2,3,3,2,2,4,4,4,4,3,3,6,6,4,4,2,2,2,2,1,1,3,3,2,2,4,4,3,3,3,3,3,3,4,4,1,1,5,5,5,5,6,6,4,4,7,7,4,4,2,2,3,3,3,3,7,7,6,6,11,11,9,9,7,7,20,20,24,24,49,49,87,87,120,120,176,175,1,205,205,,667,663,4,"11,215","11,121",94
,Total,Junio,"13,026","12,918",108,,,,,,,,,1,1,1,1,,,,4,4,,,,,3,3,2,2,3,3,3,3,2,2,3,3,3,3,4,4,11,11,5,5,6,6,5,5,7,7,7,7,7,7,5,5,2,2,3,3,8,8,3,3,3,3,6,6,7,7,8,8,6,6,14,14,6,6,,11,11,19,19,8,8,10,10,10,10,8,8,14,14,2,2,9,9,11,11,2,2,9,9,,,6,6,4,4,4,4,4,4,5,5,4,4,5,5,4,4,1,1,2,2,,,3,3,5,5,1,1,4,4,5,5,3,3,1,1,2,2,6,6,3,3,2,2,2,2,5,5,3,3,2,2,2,2,,,6,6,5,5,2,2,1,1,2,2,8,8,6,6,8,8,2,2,2,2,3,3,3,3,5,5,7,7,9,9,9,9,18,18,12,12,20,20,44,44,67,67,142,142,151,151,,244,244,,846,843,3,"11,055","10,950",105
,Total,Julio,"13,563","13,476",87,,,,,,,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,3,3,5,5,2,2,4,4,5,5,3,3,7,7,5,5,6,6,6,6,1,1,4,4,9,9,6,6,2,2,5,5,9,9,2,2,5,5,10,10,8,8,4,4,7,7,7,7,2,2,,7,7,15,15,4,4,14,14,13,13,16,16,8,8,5,5,2,2,5,5,7,7,7,7,4,4,12,12,5,5,5,5,3,3,3,3,4,4,4,4,,,4,4,1,1,3,3,8,8,3,3,1,1,3,3,1,1,1,1,1,1,3,3,4,4,2,2,5,5,4,4,1,1,2,2,2,2,6,6,6,6,3,3,5,5,6,6,4,4,2,2,3,3,5,5,2,2,5,5,3,3,2,2,6,6,6,6,7,7,13,13,13,13,18,18,14,14,16,16,58,58,79,79,149,149,198,198,,281,281,,"1,359","1,356",3,"10,969","10,885",84
