ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,POBMAS,POBFEM,P_0A2,P_18YMAS,P_3A5,P_6A11,P_8A14,P_15A17,P_12A14,REL_H_M,PROM_HNV,PNACENT,PNACOE,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,TOTHOG,POBHOG,T_VIVHAB
09,Distrito Federal,010,Álvaro Obregón,0000,TOTAL DEL MUNICIPIO,0000,000,727034,346041,380993,29724,518748,33098,67801,78416,35425,33032,90.83,1.87,582890,124238,217455,297099,68752,194919,716895,197926
09,Distrito Federal,010,Álvaro Obregón,0001,Total de la localidad urbana,0000,000,726664,345858,380806,29704,518498,33081,67762,78375,35406,33013,90.82,1.87,582613,124153,217352,296935,68731,194831,716531,197836
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0012,000,1775,803,972,45,1416,46,121,152,63,63,82.61,1.68,1511,223,642,633,258,529,1748,537
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,001,21,10,11,0,19,0,*,*,0,0,90.91,1.11,15,6,7,10,*,4,21,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,002,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,003,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,004,52,22,30,*,50,0,0,*,0,*,73.33,1.48,51,*,27,14,10,11,52,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,005,10,5,5,0,8,*,*,*,0,0,100,2.40,10,0,*,6,*,3,10,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,006,89,45,44,5,68,*,4,7,3,5,102.27,1.81,71,13,29,32,15,26,86,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,007,62,20,42,0,50,*,6,3,5,0,47.62,1.81,51,11,20,16,19,17,62,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,008,26,13,13,0,20,*,3,3,*,*,100,2.17,24,*,6,12,4,9,26,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,009,28,10,18,0,25,0,0,0,3,0,55.56,1.33,23,5,12,10,6,9,28,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,010,64,36,28,*,53,0,3,7,*,5,128.57,1.44,47,13,30,16,10,20,64,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,011,101,41,60,4,80,*,7,11,4,4,68.33,1.46,85,14,43,22,21,35,101,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,012,115,52,63,0,94,3,3,5,3,3,82.54,1.30,93,12,44,36,19,27,106,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,013,53,26,27,*,42,*,5,6,*,*,96.30,1.62,48,4,21,16,8,16,53,*
09,Distrito Federal,010,Álvaro Obregón,0001,Álvaro Obregón,0012,014,129,61,68,4,99,*,12,16,7,5,89.71,1.89,116,13,50,45,16,36,129,*
