addressNumber,districtCode,altitude,stationType,address,zipCode,location/lat,location/lon,districtName,name,nearbyStations/0,id,nearbyStations/1,nearbyStations/2,nearbyStations/3
S/N,,,"BIKE,TPV",DR. ANDRADE ARCOS DE BELÉN,,19.426611,-99.14447,,448 DR. ANDRADE - ARCOS DE BELÉN,448,448,,,
S/N,1,,BIKE,443 - Bruno Trave-Avenida México-Coyoacan,3340,19.359655,-99.162025,Ampliación Granada,443 BRUNO TRAVEN-GOLONDRINAS,432,443,442,444,
S/N,1,,BIKE,416 - Recreo-Parroquía,3104,19.371308,-99.177607,Ampliación Granada,416 RECREO-PARROQUÍA,390,416,391,415,
S/N,1,,BIKE,437 - Moras-Comunal,3240,19.36480833,-99.17602222,Ampliación Granada,437 MORAS-COMUNAL,423,437,436,438,
S/N,1,,BIKE,438 - Adolfo Prieto-José María Olloqui,3240,19.36479722,-99.17458333,Ampliación Granada,438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,434,438,435,437,
S/N,1,,BIKE,440 - Real De Mayorazgo-Puente Xoco,3330,19.36065,-99.168669,Ampliación Granada,440 REAL DE MAYORAZGO-PUENTE XOCO,433,440,439,441,
S/N,1,,"BIKE,TPV",347 - Pennsylvania-Maximino Avila Camacho,3710,19.384378,-99.176097,Ampliación Granada,347 PENNSYLVANIA-MAXIMINO AVILA CAMACHO,334,347,346,348,
S/N,1,,BIKE,350 - Jose Clemente Orozco-Correggio,3710,19.384062,-99.181482,Ampliación Granada,350 JOSE CLEMENTE OROZCO-CORREGGIO,349,350,352,,
S/N,1,,BIKE,356 - Matias Romero -Adolfo Prieto,3100,19.381292,-99.170171,Ampliación Granada,356 MATIAS ROMERO -ADOLFO PRIETO,355,356,357,372,
S/N,1,,BIKE,361 - Porfirio Díaz-Av. Insurgentes,3100,19.3804457,-99.1762233,Ampliación Granada,361 PORFIRIO DÍAZ-AV. INSURGENTES,354,361,369,370,
S/N,1,,BIKE,368 - Porfirio Díaz-Cincinatti,3740,19.379246,-99.179344,Ampliación Granada,368 PORFIRIO DÍAZ-CINCINATTI ,366,368,367,369,
S/N,1,,"BIKE,TPV",369 - Porfirio Díaz-Av. Insurgentes,3740,19.379884,-99.177478,Ampliación Granada,369 PORFIRIO DÍAZ-AV. INSURGENTES,367,369,368,,
S/N,1,,"BIKE,TPV",372 - Dr. Roberto Gayol-Tlacoquemecatl,3104,19.37797,-99.170289,Ampliación Granada,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,373,372,378,379,
S/N,1,,BIKE,379 - Dr. Roberto Gayol-Miguel Laurent,3104,19.375751,-99.17084,Ampliación Granada,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,378,379,380,395,
S/N,1,,"BIKE,TPV",402 - Uxmal-Municipio Libre,3310,19.3709452,-99.1587223,Ampliación Granada,402 UXMAL-MUNICIPIO LIBRE,401,402,403,405,
S/N,1,,"BIKE,TPV",003 - Reforma - Insurgentes,06500,19.431655,-99.158668,Ampliación Granada,3 REFORMA-INSURGENTES,8,3,20,86,
S/N,1,,BIKE,012 - Río Lerma - Villalongin,06500,19.432313,-99.161597,Ampliación Granada,12 RIO LERMA-VILLALONGIN,11,12,19,20,85
S/N,1,,"BIKE,TPV",013 - Reforma - Rio Rodano,06500,19.423778,-99.175558,Ampliación Granada,13 REFORMA-RIO RODANO,7,13,14,21,
S/N,1,,BIKE,016 - Reforma - Rio Guadalquivir,06500,19.42653,-99.169164,Ampliación Granada,16 REFORMA-RIO GUADALQUIVIR,9,16,23,24,
S/N,1,,"BIKE,TPV",017 - Reforma - Rio Tiber,06500,19.427501,-99.167125,Ampliación Granada,17 REFORMA-RIO TIBER,16,17,18,25,
S/N,1,,"BIKE,TPV",019 - Reforma - Rio Neva,06500,19.43001,-99.161675,Ampliación Granada,19 REFORMA-RIO NEVA,12,19,20,27,
S/N,1,,"BIKE,TPV",021 - Reforma - Lieja,06500,19.423317,-99.175124,Ampliación Granada,21 REFORMA-LIEJA,7,21,13,14,28
S/N,1,,"BIKE,TPV",036 - Puebla - Veracruz,06140,19.419725,-99.175778,Ampliación Granada,36 PUEBLA-VERACRUZ,37,36,41,44,
S/N,1,,"BIKE,TPV",047 - Glorieta Cibeles - Oaxaca,06700,19.419515,-99.166299,Ampliación Granada,47 GLORIETA CIBELES-OAXACA,42,47,51,56,
S/N,1,,"BIKE,TPV",041 - Reforma - Av. de la República,06700,19.435637,-99.150137,Ampliación Granada,41 REFORMA-AV. DE LA REPUBLICA,29,41,,,
S/N,1,,"BIKE,TPV",055 - 5 de Mayo - Bolívar,06700,19.434356,-99.138064,Ampliación Granada,55 5 DE MAYO-BOLIVAR,65,55,87,88,
S/N,1,,BIKE,057 - Cuernavaca - Juan Escutia,06140,19.414903,-99.17495,Ampliación Granada,57 CUERNAVACA-JUAN ESCUTIA,48,57,49,50,62
S/N,1,,BIKE,066 - Mazatlán - Francisco Marquez,06170,19.411402,-99.178666,Ampliación Granada,66 MAZATLAN-FRANCISCO MARQUEZ,65,66,72,,
S/N,1,,BIKE,074 - Nuevo León - Ozulama,06100,19.410343,-99.172831,Ampliación Granada,74 NUEVO LEON-OZULAMA,63,74,68,,
S/N,1,,"BIKE,TPV",063 - Nuevo León - Laredo,06100,19.413681,-99.171531,Ampliación Granada,63 NUEVO LEON- LAREDO,76,63,77,,
S/N,1,,"BIKE,TPV",070 - Parque México - Michoacan,06100,19.411272,-99.169718,Ampliación Granada,70 PARQUE MEXICO-MICHOACAN,69,70,76,,
S/N,1,,BIKE,088 - 2a Cerrada de 5 de Mayo - Palma,,19.433815,-99.135303,Ampliación Granada,88 2A CDA 5 DE MAYO-PALMA,55,88,89,,
S/N,1,,BIKE,072 - Mazatlán - Alfonso Reyes,06170,19.409893,-99.179544,Ampliación Granada,72 MAZATLAN-ALFONSO REYES,65,72,66,75,
S/N,1,,"BIKE,TPV",086 - Sullivan-Insurgentes,06470,19.432378,-99.159077,Ampliación Granada,86 SULLIVAN-INSURGENTES,12,86,20,,
S/N,1,,BIKE,102 - Echeveste-Bolivar,,19.42821,-99.13949,Ampliación Granada,102 ECHEVESTE-BOLIVAR,101,102,104,109,
S/N,1,,BIKE,110 - Dr. Valenzuela-Dr. Río de la loza,,19.42513,-99.14339,Ampliación Granada,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,107,110,108,122,
S/N,1,,BIKE,111 GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN,,19.438371,-99.166474,Ampliación Granada,111 GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN,103,111,160,183,
S/N,1,,BIKE,112 - Av. Morelos-Abraham González,06500,19.432819,-99.151734,Ampliación Granada,112 AV. MORELOS-ABRAHAM GONZALEZ,98,112,113,114,
S/N,1,,BIKE,123 - Claudio Bernard-Dr. Lavista,06500,19.424161,-99.153117,Ampliación Granada,123 CLAUDIO BERNARD-DR. LAVISTA,124,123,133,,
S/N,1,,BIKE,150 - Campeche-Medellín,,19.409965,-99.164292,Ampliación Granada,150 CAMPECHE-MEDELLÍN,146,150,151,152,
S/N,1,,"BIKE,TPV",154 - Tuxpan-Tlaxcala,,19.406683,-99.167962,Ampliación Granada,154 TUXPAN-TLAXCALA,152,154,153,157,
S/N,1,,BIKE,171 - Comercio-Jose Martí,,19.402584,-99.178199,Ampliación Granada,171 COMERCIO-JOSE MARTÍ,167,171,168,173,
S/N,1,,BIKE,173 - Minería-Jose Martí,,19.401682,-99.176398,Ampliación Granada,173 MINERÍA-JOSÉ MARTÍ,168,173,169,171,
S/N,1,,"BIKE,TPV",174 - Joaquín Garcia-Ignacio Manuel Altamirano,,19.44111,-99.16164,Ampliación Granada,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,160,174,183,254,
S/N,1,,BIKE,204 - Temistocles-Homero,11510,19.435882,-99.19152,Ampliación Granada,204 TEMISTOCLES-HOMERO,196,204,200,245,
S/N,1,,"BIKE,TPV",197 - Miguel de Cervantes Saavedra-Ferrocarril de Cuernavaca,,19.440077,-99.204316,Ampliación Granada,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,197,197,,,
S/N,1,,BIKE,227 - Campos Elíseos-Periférico,,19.431791,-99.207373,Ampliación Granada,227 CAMPOS ELÍSEOS-PERIFÉRICO,213,227,219,220,
S/N,1,,BIKE,181 - Benjamin Franklin-Saltillo,,19.404976,-99.175095,Ampliación Granada,181 BENJAMIN FRANKLIN-SALTILLO,168,181,169,179,
S/N,1,,BIKE,232 - Taine -  Rubén Darío,,19.42894,-99.185389,Ampliación Granada,232 TAINE-RUBEN DARÍO ,224,232,225,226,
