Date	Hi/Lo	Precip	Snow	Forecast	Avg. HI / LO
Thu 12/1	79°/52°	0 IN	0 IN	 	66°/44°
Fri 12/2	78°/53°	0 IN	0 IN	 	66°/44°
Sat 12/3	75°/50°	0 IN	0 IN	 	66°/44°
Sun 12/4	74°/53°	0 IN	0 IN	 	66°/44°
Mon 12/5	72°/53°	0 IN	0 IN	 	66°/44°
Tue 12/6	79°/49°	0 IN	0 IN	 	66°/43°
Wed 12/7	80°/48°	0 IN	0 IN	 	66°/43°
Thu 12/8	80°/48°	0 IN	0 IN	 	66°/43°
Fri 12/9	68°/55°	0 IN	0 IN	 	66°/43°
Sat 12/10	68°/50°	0 IN	0 IN	 	66°/43°
Sun 12/11	72°/51°	0 IN	0 IN	 	66°/43°
Mon 12/12	76°/50°	0 IN	0 IN	 	66°/43°
Tue 12/13	74°/46°	0 IN	0 IN	 	66°/43°
Wed 12/14	75°/46°	0 IN	0 IN	 	66°/43°
Thu 12/15	72°/51°	0.05 IN	0 IN	 	66°/43°
Fri 12/16	74°/52°	0 IN	0 IN	 	66°/43°
Sat 12/17	76°/52°	0 IN	0 IN	 	66°/42°
Sun 12/18	76°/52°	0 IN	0 IN	 	66°/42°
Mon 12/19	74°/51°	0 IN	0 IN	 	66°/42°
Tue 12/20	73°/48°	0 IN	0 IN	 	66°/42°
Wed 12/21	75°/46°	0 IN	0 IN	 	66°/42°
Thu 12/22	76°/45°	0 IN	0 IN	 	66°/42°
Fri 12/23	76°/41°	0 IN	0 IN	 	66°/42°
Sat 12/24	77°/46°	0 IN	0 IN	 	66°/42°
Sun 12/25	72°/48°	0 IN	0 IN	 	66°/42°
Mon 12/26	73°/48°	0 IN	0 IN	 	66°/42°
Tue 12/27	75°/43°	0 IN	0 IN	 	66°/42°
Wed 12/28	77°/52°	0 IN	0 IN	 	66°/42°
Thu 12/29	75°/50°	0 IN	0 IN	 	66°/42°
Fri 12/30	68°/52°	0 IN	0 IN	 	66°/42°
Sat 12/31	72°/46°	0 IN	0 IN	 	66°/42°
