Date	Hi/Lo	Precip	Snow	Forecast	Avg. HI / LO
Sat 10/1	75°/55°	0.02 IN	0 IN		71°/51°
Sun 10/2	76°/55°	0 IN	0 IN	 	71°/51°
Mon 10/3	81°/54°	0 IN	0 IN	 	71°/51°
Tue 10/4	78°/57°	0 IN	0 IN	 	71°/51°
Wed 10/5	80°/57°	0 IN	0 IN	 	71°/51°
Thu 10/6	79°/55°	0 IN	0 IN	 	71°/50°
Fri 10/7	78°/54°	0 IN	0 IN	 	71°/50°
Sat 10/8	72°/55°	0 IN	0 IN	 	71°/50°
Sun 10/9	64°/54°	0.04 IN	0 IN	 	70°/50°
Mon 10/10	70°/51°	0 IN	0 IN	 	70°/50°
Tue 10/11	78°/54°	0 IN	0 IN	 	70°/50°
Wed 10/12	78°/55°	0.42 IN	0 IN	 	70°/50°
Thu 10/13	79°/57°	0 IN	0 IN	 	70°/50°
Fri 10/14	77°/48°	0 IN	0 IN	 	70°/50°
Sat 10/15	78°/50°	0 IN	0 IN	 	70°/50°
Sun 10/16	78°/50°	0.30 IN	0 IN	 	70°/50°
Mon 10/17	78°/52°	0 IN	0 IN	 	69°/49°
Tue 10/18	80°/54°	0 IN	0 IN	 	69°/49°
Wed 10/19	77°/52°	0 IN	0 IN	 	69°/49°
Thu 10/20	77°/52°	0 IN	0 IN	 	69°/49°
Fri 10/21	65°/54°	0 IN	0 IN	 	69°/49°
Sat 10/22	66°/54°	0 IN	0 IN	 	69°/49°
Sun 10/23	73°/53°	0 IN	0 IN	 	69°/49°
Mon 10/24	76°/55°	0 IN	0 IN	 	69°/48°
Tue 10/25	73°/53°	0 IN	0 IN	 	69°/48°
Wed 10/26	72°/49°	0 IN	0 IN	 	69°/48°
Thu 10/27	65°/50°	0.01 IN	0 IN	 	69°/48°
Fri 10/28	62°/46°	0 IN	0 IN	 	69°/48°
Sat 10/29	71°/51°	0 IN	0 IN	 	69°/48°
Sun 10/30	74°/52°	0.04 IN	0 IN	 	69°/48°
Mon 10/31	70°/52°	0 IN	0 IN	 	69°/47°
